id,name,slug,completedLanguages/0,completedAt
56747fd5cb988479af000028,Get the Middle Character,get-the-middle-character,python,2018-03-04T23:57:12Z
55bf01e5a717a0d57e0000ec,Persistent Bugger.,persistent-bugger,python,2018-03-04T23:53:23Z
57a55c8b72292d057b000594,Reversing Words in a String,reversing-words-in-a-string,python,2018-03-04T18:49:11Z
56bc28ad5bdaeb48760009b0,Remove First and Last Character,remove-first-and-last-character,python,2018-03-04T18:39:35Z
53dc23c68a0c93699800041d,Sentence Smash,sentence-smash,python,2018-03-04T17:40:38Z
57fb09ef2b5314a8a90001ed,Exclamation marks series #11: Replace all vowel to exclamation mark in the sentence,exclamation-marks-series-number-11-replace-all-vowel-to-exclamation-mark-in-the-sentence,python,2018-02-22T21:12:23Z
55b42574ff091733d900002f,Friend or Foe?,friend-or-foe,python,2018-02-22T16:16:40Z
57eae20f5500ad98e50002c5,Remove String Spaces,remove-string-spaces,python,2018-02-22T15:18:50Z
54ff3102c1bad923760001f3,Vowel Count,vowel-count,python,2018-02-21T23:00:54Z
576757b1df89ecf5bd00073b,Build Tower,build-tower,python,2018-02-21T22:50:05Z
56676e8fabd2d1ff3000000c,A Needle in the Haystack,a-needle-in-the-haystack,python,2018-02-21T20:31:42Z
56b1f01c247c01db92000076,Double Char,double-char,python,2018-02-21T19:44:36Z
558fc85d8fd1938afb000014,Sum of two lowest positive integers,sum-of-two-lowest-positive-integers,python,2018-02-21T19:26:33Z
514b92a657cdc65150000006,Multiples of 3 or 5,multiples-of-3-or-5,python,2018-02-21T01:41:58Z
54edbc7200b811e956000556,Counting sheep...,counting-sheep-dot-dot-dot,python,2018-02-21T01:24:29Z
55d24f55d7dd296eb9000030,Grasshopper - Summation,grasshopper-summation,python,2018-02-21T01:15:23Z
515e271a311df0350d00000f,Square(n) Sum,square-n-sum,python,2018-02-21T00:43:11Z
5715eaedb436cf5606000381,Sum of positive,sum-of-positive,python,2018-02-21T00:08:04Z
576bb71bbbcf0951d5000044,Count of positives / sum of negatives,count-of-positives-slash-sum-of-negatives,python,2018-02-21T00:01:36Z
57096af70dad013aa200007b,Logical calculator,logical-calculator,python,2018-02-14T03:09:53Z
54ba84be607a92aa900000f1,Isograms,isograms,python,2018-02-03T03:36:04Z
559f44187fa851efad000087,SevenAte9,sevenate9,python,2018-02-02T21:14:36Z
57f36495c0bb25ecf50000e7,Sum of all the multiples of 3 or 5,sum-of-all-the-multiples-of-3-or-5,python,2018-02-02T20:35:38Z
5a3fe3dde1ce0e8ed6000097,Century From Year,century-from-year,python,2018-02-02T16:51:01Z
57eae65a4321032ce000002d,Fake Binary,fake-binary,python,2018-02-02T16:06:14Z
5672a98bdbdd995fad00000f,Rock Paper Scissors!,rock-paper-scissors,python,2018-01-26T18:27:44Z
53369039d7ab3ac506000467,Convert boolean values to strings 'Yes' or 'No'.,convert-boolean-values-to-strings-yes-or-no,python,2018-01-26T18:23:01Z
55cb632c1a5d7b3ad0000145,Keep up the hoop,keep-up-the-hoop,python,2018-01-25T23:29:45Z
55f9b48403f6b87a7c0000bd,Beginner Series #1 School Paperwork,beginner-series-number-1-school-paperwork,python,2018-01-19T18:25:05Z
55685cd7ad70877c23000102,Return Negative,return-negative,python,2018-01-19T18:19:47Z
57356c55867b9b7a60000bd7,Basic Mathematical Operations,basic-mathematical-operations,python,2018-01-19T17:55:14Z
53da3dbb4a5168369a0000fe,Even or Odd,even-or-odd,python,2018-01-19T17:49:08Z
58261acb22be6e2ed800003a,Volume of a Cuboid,volume-of-a-cuboid,python,2018-01-17T22:22:53Z
57b2e428d24156b312000114,Find the volume of a Cone.,find-the-volume-of-a-cone,python,2018-01-17T22:18:50Z
582cb0224e56e068d800003c,Keep Hydrated!,keep-hydrated-1,python,2018-01-16T20:47:52Z
560c31275c39c481c4000022,Grasshopper - Shopping list,grasshopper-shopping-list,python,2018-01-16T08:27:25Z
55ca77fa094a2af31f00002a,Grasshopper - Messi Goals,grasshopper-messi-goals,python,2018-01-14T23:53:43Z
56dec885c54a926dcd001095,Opposite number,opposite-number,python,2018-01-14T23:48:48Z
544675c6f971f7399a000e79,Convert a String to a Number!,convert-a-string-to-a-number,python,2018-01-13T23:28:25Z
5265326f5fda8eb1160004c8,Convert a Number to a String!,convert-a-number-to-a-string,python,2018-01-13T23:27:55Z
50654ddff44f800200000004,Multiply,multiply,python,2018-01-05T21:37:31Z
